pedido_id,dia,hub_origen,destino,ruta,paquetes_asignados,paquetes_pendientes
7-0000036,7,SPIM,LATI,"OSDI-OJAI@D07 | OMDB-OPKC@D07 | EHAM-LBSF@D07 | SUAA-SGAS@D07 | OAKB-SGAS@D07",37,0
7-0000037,7,UBBB,EDDI,"EBCI-SGAS@D07 | OAKB-OPKC@D07 | OYSN-UMMS@D07 | EKCH-OJAI@D07 | SUAA-SVMI@D07",131,12
7-0000037,7,UBBB,EDDI,"SVMI-OMDB@D07 | LATI-EBCI@D07 | UBBB-SPIM@D07 | LOWW-OSDI@D07 | SKBO-OJAI@D07",12,0
7-0000038,7,UBBB,LOWW,"EBCI-SLLP@D07 | SKBO-OMDB@D07 | SBBR-EBCI@D07 | LOWW-VIDP@D07 | SPIM-LOWW@D07",107,37
7-0000038,7,UBBB,LOWW,"SABE-LKPR@D07 | SLLP-SEQM@D07 | SCEL-UBBB@D07 | OYSN-UMMS@D07 | OSDI-EKCH@D07",37,0
7-0000039,7,UBBB,LKPR,"OERK-SUAA@D07 | OSDI-SLLP@D07 | SLLP-OOMS@D07 | OSDI-SLLP@D07 | OERK-EHAM@D07",144,0
7-0000040,7,UBBB,LDZA,"SLLP-SABE@D07 | SGAS-EDDI@D07 | EHAM-SLLP@D07 | EDDI-SGAS@D07 | SBBR-OAKB@D07",144,0
8-0000041,8,EBCI,EKCH,"SPIM-LOWW@D08 | LKPR-OERK@D08 | UMMS-OERK@D08 | LOWW-SABE@D08 | UMMS-SKBO@D08",107,39
8-0000041,8,EBCI,EKCH,"OAKB-UBBB@D08 | LDZA-EHAM@D08 | UMMS-SVMI@D08 | SGAS-SBBR@D08 | OPKC-SUAA@D08",39,0
8-0000042,8,SPIM,EHAM,"UMMS-LBSF@D08 | SBBR-SUAA@D08 | SCEL-EDDI@D08 | SCEL-EBCI@D08 | LATI-VIDP@D08",53,93
8-0000042,8,SPIM,EHAM,"LBSF-VIDP@D08 | UBBB-LDZA@D08 | LATI-OJAI@D08 | UBBB-LDZA@D08 | OERK-EKCH@D08",93,0
8-0000043,8,EBCI,VIDP,"SKBO-LKPR@D08 | SBBR-OPKC@D08 | OAKB-LKPR@D08 | OAKB-LKPR@D08 | UMMS-OSDI@D08",146,0
8-0000044,8,SPIM,OSDI,"EHAM-LATI@D08 | EDDI-OERK@D08 | LDZA-EDDI@D08 | SPIM-OPKC@D08 | SPIM-SLLP@D08",139,8
8-0000044,8,SPIM,OSDI,"VIDP-LATI@D08 | OYSN-OSDI@D08 | SPIM-SVMI@D08 | LKPR-SLLP@D08 | OERK-OAKB@D08",8,0
8-0000045,8,EBCI,OERK,"LBSF-LDZA@D08 | SKBO-OMDB@D08 | EHAM-SLLP@D08 | LOWW-LATI@D08 | VIDP-SABE@D08",111,36
8-0000045,8,EBCI,OERK,"SABE-LOWW@D08 | VIDP-SPIM@D08 | SKBO-SEQM@D08 | SCEL-LOWW@D08 | SEQM-SUAA@D08",36,0
9-0000046,9,EBCI,OOMS,"SKBO-OYSN@D09 | LDZA-SLLP@D09 | LKPR-SGAS@D09 | SUAA-LOWW@D09 | OYSN-SGAS@D09",40,108
9-0000046,9,EBCI,OOMS,"OAKB-SBBR@D09 | EKCH-OPKC@D09 | UBBB-OYSN@D09 | OMDB-SBBR@D09 | SPIM-SVMI@D09",108,0
9-0000047,9,UBBB,OYSN,"EKCH-SCEL@D09 | UMMS-LKPR@D09 | SGAS-SBBR@D09 | SVMI-EBCI@D09 | OSDI-OAKB@D09",148,0
9-0000048,9,SPIM,OMDB,"LKPR-SABE@D09 | OOMS-SUAA@D09 | EDDI-SLLP@D09 | OPKC-SBBR@D09 | SUAA-SLLP@D09",149,0
9-0000049,9,UBBB,OJAI,"OPKC-UBBB@D09 | EKCH-OSDI@D09 | SGAS-EKCH@D09 | SKBO-SCEL@D09 | UMMS-OJAI@D09",149,0
9-0000050,9,SPIM,UMMS,"SBBR-VIDP@D09 | OOMS-SABE@D09 | LOWW-SVMI@D09 | LATI-SLLP@D09 | SGAS-VIDP@D09",106,43
9-0000050,9,SPIM,UMMS,"LDZA-SUAA@D09 | OJAI-OYSN@D09 | EKCH-LBSF@D09 | UMMS-EDDI@D09 | SPIM-OPKC@D09",43,0
10-0000051,10,SPIM,LATI,"SCEL-EDDI@D10 | EBCI-VIDP@D10 | OMDB-LBSF@D10 | SUAA-SGAS@D10 | EHAM-OERK@D10",150,0
10-0000052,10,EBCI,EDDI,"LKPR-OOMS@D10 | LKPR-EKCH@D10 | EHAM-EBCI@D10 | OSDI-SPIM@D10 | OJAI-SPIM@D10",150,0
10-0000053,10,EBCI,LOWW,"EHAM-SABE@D10 | UMMS-OYSN@D10 | LATI-LOWW@D10 | UMMS-LBSF@D10 | EBCI-OERK@D10",151,0
10-0000054,10,SPIM,LKPR,"UBBB-VIDP@D10 | SBBR-OSDI@D10 | SUAA-LATI@D10 | SGAS-OMDB@D10 | SLLP-OERK@D10",151,0
10-0000055,10,EBCI,LDZA,"OAKB-OERK@D10 | OOMS-UMMS@D10 | LOWW-SVMI@D10 | OMDB-SCEL@D10 | OJAI-OOMS@D10",106,45
10-0000055,10,EBCI,LDZA,"SGAS-OYSN@D10 | LKPR-SGAS@D10 | OMDB-OJAI@D10 | LDZA-SGAS@D10 | LOWW-VIDP@D10",45,0
11-0000056,11,EBCI,EKCH,"SKBO-LDZA@D11 | EDDI-SBBR@D11 | OSDI-SLLP@D11 | OMDB-SGAS@D11 | LATI-OSDI@D11",152,0
11-0000057,11,EBCI,EHAM,"SBBR-SPIM@D11 | OPKC-OJAI@D11 | OAKB-VIDP@D11 | SUAA-UBBB@D11 | SABE-LKPR@D11",152,0
11-0000058,11,EBCI,VIDP,"OERK-SCEL@D11 | OYSN-SCEL@D11 | OAKB-UBBB@D11 | SKBO-UBBB@D11 | SPIM-OPKC@D11",153,0
11-0000059,11,UBBB,OSDI,"SGAS-LDZA@D11 | EHAM-SLLP@D11 | SEQM-EDDI@D11 | EKCH-LDZA@D11 | OPKC-SABE@D11",153,0
11-0000060,11,UBBB,OERK,"LATI-EKCH@D11 | SPIM-EDDI@D11 | LDZA-SPIM@D11 | SABE-OJAI@D11 | LOWW-EDDI@D11",154,0
12-0000061,12,UBBB,OOMS,"LBSF-SGAS@D12 | OOMS-EHAM@D12 | SVMI-SGAS@D12 | OSDI-SCEL@D12 | VIDP-SKBO@D12",154,0
12-0000062,12,SPIM,OYSN,"EDDI-OOMS@D12 | LOWW-OERK@D12 | UMMS-LKPR@D12 | SEQM-LBSF@D12 | SCEL-SPIM@D12",155,0
12-0000063,12,UBBB,OMDB,"SKBO-EBCI@D12 | VIDP-SBBR@D12 | LATI-SLLP@D12 | LBSF-SVMI@D12 | EDDI-OMDB@D12",46,109
12-0000063,12,UBBB,OMDB,"SGAS-SABE@D12 | SPIM-SLLP@D12 | SGAS-OSDI@D12 | LDZA-SGAS@D12 | OPKC-OJAI@D12",109,0
12-0000064,12,UBBB,OJAI,"SUAA-EBCI@D12 | SLLP-LDZA@D12 | SBBR-SLLP@D12 | OERK-SGAS@D12 | LOWW-SABE@D12",156,0
12-0000065,12,EBCI,UMMS,"SUAA-LDZA@D12 | SPIM-SVMI@D12 | LATI-LOWW@D12 | OAKB-SKBO@D12 | OPKC-EKCH@D12",103,53
12-0000065,12,EBCI,UMMS,"SUAA-LATI@D12 | EHAM-VIDP@D12 | LBSF-LATI@D12 | UMMS-LBSF@D12 | SVMI-SPIM@D12",53,0
13-0000066,13,EBCI,SVMI,"OAKB-EKCH@D13 | SABE-SCEL@D13 | LOWW-OOMS@D13 | SLLP-OSDI@D13 | LOWW-EKCH@D13",157,0
13-0000067,13,UBBB,SKBO,"OOMS-EHAM@D13 | LDZA-OMDB@D13 | UBBB-LDZA@D13 | SLLP-LKPR@D13 | OPKC-LBSF@D13",157,0
13-0000068,13,UBBB,SEQM,"EKCH-SBBR@D13 | LBSF-OJAI@D13 | EKCH-SLLP@D13 | OYSN-UMMS@D13 | LKPR-SGAS@D13",158,0
13-0000069,13,UBBB,SBBR,"SPIM-SLLP@D13 | LATI-SCEL@D13 | SKBO-EDDI@D13 | OPKC-SPIM@D13 | LOWW-UBBB@D13",158,0
13-0000070,13,UBBB,SLLP,"SPIM-VIDP@D13 | OMDB-SEQM@D13 | EKCH-LBSF@D13 | OSDI-EDDI@D13 | OERK-SPIM@D13",159,0
14-0000071,14,EBCI,SCEL,"SPIM-SABE@D14 | SVMI-SCEL@D14 | EDDI-OJAI@D14 | SVMI-LDZA@D14 | EHAM-SCEL@D14",156,3
14-0000071,14,EBCI,SCEL,"SCEL-EHAM@D14 | SPIM-SUAA@D14 | SPIM-OPKC@D14 | OMDB-LATI@D14 | SUAA-UBBB@D14",3,0
14-0000072,14,EBCI,SABE,"SEQM-LKPR@D14 | SABE-LDZA@D14 | LDZA-VIDP@D14 | OMDB-OJAI@D14 | EDDI-UMMS@D14",160,0
14-0000073,14,EBCI,SGAS,"OJAI-SLLP@D14 | UMMS-LDZA@D14 | SPIM-SEQM@D14 | LOWW-OYSN@D14 | EHAM-SLLP@D14",50,110
14-0000073,14,EBCI,SGAS,"EDDI-SEQM@D14 | EDDI-EKCH@D14 | OSDI-SLLP@D14 | OSDI-SLLP@D14 | OOMS-LOWW@D14",110,0
14-0000074,14,SPIM,SUAA,"SKBO-SEQM@D14 | LOWW-SGAS@D14 | UBBB-OJAI@D14 | UMMS-LBSF@D14 | SGAS-OSDI@D14",161,0
14-0000075,14,SPIM,LATI,"LDZA-SBBR@D14 | SABE-SCEL@D14 | UMMS-OMDB@D14 | OJAI-OERK@D14 | LKPR-SVMI@D14",161,0
15-0000076,15,SPIM,EDDI,"OYSN-SBBR@D15 | SEQM-SBBR@D15 | UBBB-SVMI@D15 | SPIM-OPKC@D15 | LDZA-OPKC@D15",162,0
15-0000077,15,UBBB,LOWW,"SCEL-LOWW@D15 | LKPR-UBBB@D15 | LATI-SLLP@D15 | UBBB-SEQM@D15 | SPIM-LKPR@D15",162,0
15-0000078,15,EBCI,LKPR,"SUAA-LBSF@D15 | OSDI-SKBO@D15 | SKBO-SVMI@D15 | LBSF-OOMS@D15 | EHAM-SLLP@D15",163,0
15-0000079,15,SPIM,LDZA,"OSDI-EHAM@D15 | OERK-SPIM@D15 | OOMS-LATI@D15 | LDZA-SPIM@D15 | SVMI-EKCH@D15",163,0
15-0000080,15,UBBB,EKCH,"OMDB-SLLP@D15 | LATI-SCEL@D15 | SVMI-LATI@D15 | OERK-UMMS@D15 | SLLP-OAKB@D15",164,0
16-0000081,16,SPIM,EHAM,"EBCI-SCEL@D16 | OYSN-UMMS@D16 | SPIM-LBSF@D16 | SUAA-SLLP@D16 | EKCH-OSDI@D16",164,0
16-0000082,16,EBCI,VIDP,"OSDI-LATI@D16 | OSDI-OYSN@D16 | OPKC-SKBO@D16 | SGAS-SCEL@D16 | VIDP-SGAS@D16",130,35
16-0000082,16,EBCI,VIDP,"SUAA-SGAS@D16 | EBCI-VIDP@D16 | OERK-LDZA@D16 | SUAA-VIDP@D16 | SABE-EHAM@D16",35,0
16-0000083,16,EBCI,OSDI,"EDDI-EKCH@D16 | SCEL-UBBB@D16 | OAKB-EKCH@D16 | SBBR-OPKC@D16 | LBSF-EKCH@D16",165,0
16-0000084,16,EBCI,OERK,"OOMS-LDZA@D16 | SVMI-SEQM@D16 | EBCI-LBSF@D16 | LKPR-SGAS@D16 | SVMI-OMDB@D16",33,133
16-0000084,16,EBCI,OERK,"SBBR-EBCI@D16 | OAKB-OPKC@D16 | OYSN-UMMS@D16 | SEQM-EHAM@D16 | OAKB-EBCI@D16",131,2
16-0000084,16,EBCI,OERK,"OAKB-SUAA@D16 | VIDP-SPIM@D16 | EBCI-SEQM@D16 | SPIM-OOMS@D16 | OOMS-SKBO@D16",2,0
16-0000085,16,UBBB,OOMS,"OERK-SVMI@D16 | EHAM-LATI@D16 | SLLP-OOMS@D16 | OJAI-OOMS@D16 | OPKC-SKBO@D16",166,0
17-0000086,17,SPIM,OYSN,"EDDI-SLLP@D17 | OERK-SPIM@D17 | LBSF-OERK@D17 | LBSF-OOMS@D17 | EKCH-OOMS@D17",167,0
17-0000087,17,EBCI,OMDB,"LBSF-OOMS@D17 | SBBR-OPKC@D17 | OAKB-OOMS@D17 | LOWW-SBBR@D17 | OYSN-OJAI@D17",167,0
17-0000088,17,SPIM,OJAI,"OERK-SABE@D17 | SGAS-LBSF@D17 | OMDB-UBBB@D17 | OOMS-EHAM@D17 | LOWW-SVMI@D17",106,62
