Gen,BestRoute,BestFitness,Avg,Worst
34,"[FRA-DXB, FRA-AMS, UBBB-PEK, SPIM-FRA, MAD-FRA, SPIM-DXB, JFK-YYZ, JFK-LAX, DXB-BOM, MAD-AMS, SPIM-MAD, AMS-LHR, EBCI-JFK, SPIM-JFK, PEK-HND]",0.00,0.00,0.00
35,"[FRA-AMS, FRA-DXB, UBBB-PEK, JFK-YYZ, JFK-LAX, DXB-BOM, SPIM-JFK, MAD-FRA, PEK-HND, MAD-AMS, SPIM-DXB, EBCI-JFK, SPIM-FRA, SPIM-MAD, AMS-LHR]",0.00,0.00,0.00
36,"[FRA-DXB, SPIM-MAD, UBBB-PEK, JFK-YYZ, JFK-LAX, DXB-BOM, SPIM-JFK, AMS-LHR, MAD-AMS, SPIM-FRA, EBCI-JFK, SPIM-DXB, MAD-FRA, PEK-HND, FRA-AMS]",0.00,0.00,0.00
37,"[FRA-AMS, FRA-DXB, UBBB-PEK, JFK-YYZ, SPIM-DXB, DXB-BOM, SPIM-JFK, AMS-LHR, MAD-AMS, SPIM-FRA, EBCI-JFK, JFK-LAX, SPIM-MAD, MAD-FRA, PEK-HND]",0.00,0.00,0.00
38,"[FRA-AMS, FRA-DXB, MAD-FRA, JFK-YYZ, SPIM-DXB, JFK-LAX, DXB-BOM, SPIM-JFK, AMS-LHR, PEK-HND, UBBB-PEK, MAD-AMS, SPIM-FRA, SPIM-MAD, EBCI-JFK]",0.00,0.00,0.00
39,"[FRA-AMS, FRA-DXB, UBBB-PEK, JFK-YYZ, MAD-AMS, SPIM-JFK, JFK-LAX, SPIM-FRA, SPIM-MAD, SPIM-DXB, DXB-BOM, PEK-HND, MAD-FRA, AMS-LHR, EBCI-JFK]",0.00,0.00,0.00
40,"[FRA-DXB, UBBB-PEK, FRA-AMS, EBCI-JFK, SPIM-DXB, JFK-LAX, DXB-BOM, JFK-YYZ, PEK-HND, SPIM-JFK, MAD-AMS, MAD-FRA, SPIM-MAD, AMS-LHR, SPIM-FRA]",0.00,0.00,0.00
41,"[FRA-AMS, FRA-DXB, JFK-YYZ, SPIM-DXB, DXB-BOM, JFK-LAX, SPIM-JFK, UBBB-PEK, MAD-AMS, SPIM-MAD, PEK-HND, EBCI-JFK, SPIM-FRA, AMS-LHR, MAD-FRA]",0.00,0.00,0.00
42,"[FRA-AMS, FRA-DXB, JFK-YYZ, SPIM-DXB, DXB-BOM, SPIM-JFK, SPIM-MAD, PEK-HND, JFK-LAX, AMS-LHR, EBCI-JFK, MAD-AMS, SPIM-FRA, MAD-FRA, UBBB-PEK]",0.00,0.00,0.00
43,"[FRA-AMS, FRA-DXB, UBBB-PEK, JFK-YYZ, SPIM-DXB, DXB-BOM, SPIM-JFK, SPIM-MAD, PEK-HND, JFK-LAX, AMS-LHR, EBCI-JFK, MAD-AMS, SPIM-FRA, MAD-FRA]",0.00,0.00,0.00
44,"[FRA-DXB, MAD-AMS, SPIM-MAD, UBBB-PEK, SPIM-JFK, JFK-YYZ, SPIM-DXB, DXB-BOM, JFK-LAX, FRA-AMS, SPIM-FRA, MAD-FRA, AMS-LHR, EBCI-JFK, PEK-HND]",0.00,0.00,0.00
45,"[FRA-AMS, FRA-DXB, DXB-BOM, MAD-FRA, SPIM-JFK, JFK-YYZ, SPIM-DXB, UBBB-PEK, EBCI-JFK, JFK-LAX, MAD-AMS, SPIM-MAD, SPIM-FRA, PEK-HND, AMS-LHR]",0.00,0.00,0.00
46,"[FRA-AMS, FRA-DXB, JFK-YYZ, MAD-AMS, JFK-LAX, UBBB-PEK, SPIM-JFK, SPIM-FRA, SPIM-MAD, DXB-BOM, MAD-FRA, SPIM-DXB, PEK-HND, EBCI-JFK, AMS-LHR]",0.00,0.00,0.00
47,"[FRA-AMS, FRA-DXB, JFK-YYZ, MAD-AMS, JFK-LAX, UBBB-PEK, SPIM-JFK, SPIM-FRA, SPIM-MAD, DXB-BOM, MAD-FRA, SPIM-DXB, PEK-HND, EBCI-JFK, AMS-LHR]",0.00,0.00,0.00
48,"[SPIM-MAD, JFK-YYZ, FRA-DXB, FRA-AMS, DXB-BOM, UBBB-PEK, SPIM-DXB, MAD-AMS, MAD-FRA, JFK-LAX, SPIM-JFK, SPIM-FRA, PEK-HND, AMS-LHR, EBCI-JFK]",0.00,0.00,0.00
49,"[FRA-AMS, FRA-DXB, UBBB-PEK, MAD-AMS, JFK-YYZ, JFK-LAX, SPIM-DXB, DXB-BOM, SPIM-JFK, SPIM-MAD, PEK-HND, SPIM-FRA, MAD-FRA, EBCI-JFK, AMS-LHR]",0.00,0.00,0.00
50,"[FRA-AMS, FRA-DXB, UBBB-PEK, MAD-AMS, SPIM-MAD, JFK-YYZ, SPIM-DXB, DXB-BOM, JFK-LAX, SPIM-JFK, PEK-HND, MAD-FRA, SPIM-FRA, AMS-LHR, EBCI-JFK]",0.00,0.00,0.00
